id,nct_id,description
4723206,NCT05091632,"This study investigates the use electroencephalography (EEG - a test that measures brain waves) to learn if patients who appear unresponsive (do not respond to noises, words, or touch) retain any consciousness. Families want to know if their loved ones who are unresponsive can still hear them or feel any discomfort. Information gained from this study may have important impact in how patients, caregivers, and doctors make decisions."
4723209,NCT05412615,"This study plans to learn more about the effect of adding tissue graft for wrist osteoarthritis reconstruction procedures. Previous studies have shown better allograft stability, and no documented foreign body reaction than with silicone and other synthetic materials."
4723215,NCT00005237,To acquire a better understanding of the spontaneous clinical behavior of paroxysmal tachycardia by studying epidemiologic features of symptomatic tachycardia patients.
4723218,NCT02309437,This study is a superiority research to evaluate the safety and effectiveness of early use of oxycodone control release tablet for radiation mucositis in nasopharyngeal carcinoma patients.
4723222,NCT04844437,In a present study vaginal examination of the fetal head station is compared with transperineal ultrasonography evaluation of fetal head station and the ability of ultrasonography evaluation in predicting the time and mode of delivery will be investigated.
4723225,NCT03128437,This is a randomized control trial to test the effect of an anxiety sensitivity intervention on health behaviors among 18-35 year-olds.
4723230,NCT01719237,A double blinded randomized controlled trial comparing the onset and duration of the Onset and Duration of Ultrasound Guided Supraclavicular Nerve Blocks Using a long acting local anesthestic (Ropivacaine) with a mixture of a long and short acting local anesthestic (Ropivacaine-Chloroprocaine Mixture).
4723233,NCT03361215,"The clinical study investigates the long-term course of disease in patients with chronic inflammatory skin diseases (atopic eczema and psoriasis) and the impact of tarheted therapies on the clinical and molecular level. For this purpose, patients are asked to take part in regular examinations and data collections, and to donate biomaterials (blood, skin biopsies, skin swabs, tape strips, stool samples). Blood samples are used to analyze inflammation messengers. Punch biopsies from lesional and non-lesional skin areas are used to analyze gene expression. Tape strips are pieces of transparent adhesive tapes to strip off most of the horny layer that will be used to examine mRNA and protein expression. The skin smears are superficial smears of three areas of skin with cotton swabs, which are used to examine bacteria on the skin. Overall, the study will help to monitor the disease course clinically and on the molecular level in participating patients for at least ten years and to collect information about the impact of various external factors including treatments. The study has no effect on the therapies of the disease, it serves only the accompanying data collection"
4723237,NCT03978637,"The purpose of this study is to evaluate the safety, efficacy, pharmacokinetics, and pharmacodynamics of itacitinib in participants with post-lung transplant bronchiolitis obliterans syndrome (BOS)."
4723240,NCT05820815,"The goal of this to investigate the feasibility and safety of in-bed self-exercises based on EMG-sensor feedback in subacute stroke patients. The main question is feasibility and safety. It aims to answer are:

\[Pittsburgh Rehabilitation Participation Scale\] \[The number and percentage of participating sessions\] \[The number and percentage of completed sessions\] \[The number and percentage of successful sessions\] \[The mean amplitude of muscle contractions in a session\] \[The duration and percentage of participating sessions during self-exercise\] \[Rivermead motor assessment\] \[Manual muscle test\] \[brunnstrom stages of motor recovery\] \[Fugl Meyer assessment of lower extremity\] \[Berg balance scale\] \[Functional ambulation category\] \[modified Rankin scale\] \[modified Barthel index\] \[Short-form Health Survery 36 version 2\]"
4723249,NCT01148732,"Reliable endotracheal tube (ETT) insertion confirmation is essential for critically ill patients. Incorrect placement causes a high rate of mortality and morbidity. Therefore, early detection of accidental esophageal intubation must be a primary focus of emergency airway efforts in emergency department (ED). Although many techniques have been suggested to verify the ETT placement, there is currently no entirely reliable method. Ultrasonography (US) is an indispensable and easily accessible tool in ED. Several studies of ultrasonographic confirmation of ETT position provided promising results in cadaver model or patient in a controlled operating room setting.In this study, the investigators have proposed a protocol called T.R.U.E, an acronym for tracheal rapid ultrasound exam, to confirm the ETT position in emergency intubation. This method provided a fast, real-time examination to prevent esophageal or endotracheal intubation."
4723253,NCT05740332,"Hand sanitizers are a standard of hygiene requirements. They must be effective at reducing germ count on the hands while ideally providing emollients to moisturize the skin after use. Spectrum™ Advanced Hand Sanitizer Foam (70%) (hereby referred to as Spectrum Advanced Foam) kills over 99.99% of germs within 15 seconds while boasting double digit increases in hand moisture after two weeks of use.

In 2002 and 2009 the Center for Disease Control and Prevention (CDC) and World Health Organization (WHO) published guidance that hands should remain wet for at least 15 seconds while being rubbed together after application of an alcohol-based hand rub, though the recommendations do not specify the volume of product to be apply.

This study will evaluate the ""wet time"" of Spectrum Advanced Foam, which will be defined as the length of time in which the sanitizer foam stays wet on the hands while the participant rubs their hands with the foam sanitizer. The participant will first be asked to wash and dry their hands. Participants will review the appropriate hand sanitizer application steps, as detailed by the WHO guidance. Then, a 1.0 milliliter (mL) or 1.4 mL aliquot of Spectrum Advanced Foam will be dispensed from an automated dispenser to the participant's hands. The participant will be asked to rub their hands together following the WHO method for hand sanitizer application until they declare the product has dried sufficiently for the donning of medical gloves. Study personnel will measure the wet time of Spectrum Advanced foam using a stopwatch."
4723256,NCT03396432,"Complications related to infant (≤ 1 year) airway management are under-appreciated because of few rigorous and targeted studies. Investigators have recently shown that multiple tracheal intubation (TI) attempts are a key risk factor for intubation-related complications in small children. Tracheal Intubation using Video laryngoscopy (VL) has become popular in anesthesiology practice because of several advantages over conventional direct laryngoscopy (DL). Studies show that VL improves the view of the airway compared to DL, requires fewer intubation attempts, but may take more time to intubate the trachea. This study compares first attempt success of VL to DL in infants presenting for elective surgery."
4723258,NCT05291832,"Induction and emergence from propofol can be a difficult process for patients and healthcare workers, and long recovery times in particular can limit the rate of care. A double-blinded randomized controlled trial with 220 patients undergoing elective colonoscopy or endoscopy is proposed to test the impact of perioperative music on patient experience and recovery from propofol anaesthesia. Patients will be assigned at random to hear either rhythmic auditory stimulation (music designed to drive neural oscillations) or spectrally-matched noise (sound that produces the same levels of activity at the cochlea but not expected to drive neural entrainment). Bone-conduction headphones will be administered in pre-operation waiting and will play music (or matched noise) until propofol administration ceases, at which time the music (or noise) will be switched: Pre- and post-operational music is designed to be sedative and stimulative, respectively, created with methods that drive auditory entrainment to promote those states. Outcome measures will be recovery time and the patient's subjective experience (taken via survey)."
4723261,NCT05164432,"1.4% of babies have a very premature birth (PTB) (less than 32 weeks of pregnancy). This can result in severe life-long complications including cerebral palsy, learning and behavioural difficulties and breathing problems. This has significant cost implications for the NHS, education services and immeasurable human costs for the child and their family.

Early delivery may result from maternal infection or poor attachment of the placenta to the womb, which may also cause abnormal brain and lung development. Even where obvious signs of infection are not present in the mother, subtle infection is often present in the baby. Currently there is no test routinely used to see if there is an infection of the baby inside the womb, and it is unknown how the placenta develops in babies that subsequently deliver preterm.

Using MRI, the investigators will assess the baby's thymus and placenta for signs of infection and assess how the lungs and brain are developing whilst still in the womb. Machine learning techniques, where computers analyze all the results together, will then be used to see if these scans can identify babies that do poorly after birth.

137 pregnant women at high risk of PTB (between 16-32 weeks of pregnancy) and 183 women with uncomplicated pregnancies will be invited to participate.

Women will have an MRI scan of the fetus assessing the lung, brain, thymus and placenta. Where high risk women do not deliver, repeat imaging will be offered every two weeks (maximum 3).

After birth the investigators will see if infection was present by analysing the placenta under a microscope, and see how the baby does. All the information from scans and after birth will be put into a computer, to predict which babies do poorly after birth. Health records of the child will be accessed up to two years of age."
4723264,NCT03218332,"to examine the relationship between repeated concussions and late decline of brain function. In addition, all participants agreeing to participate in the study will be asked to will their brains to The Krembil Neuroscience Centre Concussion Project at the Toronto Western Hospital with the consent and full knowledge of their families and doctors. However, it is possible to participate in the research without agreeing to a brain donation.

The Project Team is specifically attempting a clinical-MRI-brain tissue research analysis to determine the exact mechanism of the damage to brain tissue following repeated concussions. This condition is known as chronic traumatic encephalopathy (CTE), and shows an abnormal protein in the brain called tau-protein."
4723268,NCT04518137,"This is a single-arm and open-label study of ATG-008 for the Treatment of Patients With advanced Solid Tumors harboring NFE 2L2, STK11, RICTOR or other specific genetic alterationts"
4723271,NCT04043637,"This study describes how to perform a correct prostatic apex and membranous urethra in order to preserve all anatomical elements that are necessary to achieve a very fast urinary continence after open/laparoscopic/robotic radical prostatectomy, avoiding positive surgical margins at this level."
4723279,NCT00940615,The current project will examine the effects of aerobic exercise on cognition among a group of veterans who have suffered a mild traumatic brain injury.
4723280,NCT05468515,"Pulse oximetry offers real time and non-invasive estimation of arterial oxygen saturation in a cost-effective way, and has become a critical tool in guiding the usage of supplemental oxygen in sick newborns. During postnatal transition, pulmonary pressure decreases upon the activation of the lungs, and the ductus arteriosus constricts and closes upon the increase of partial oxygen pressure, which is negatively correlated with altitude. As a result, postnatal transition may be different at high altitudes. Umbilical cord blood gas analysis is now recommended in all high-risk deliveries because of its' value in providing information about preceding fetal hypoxic stress. But there are only limited studies about the SpO2 measurements during the first few hours after birth and umbilical blood gas analysis at high altitudes, especially at altitudes above 2500m. The primary outcome of the study is to determine the reference intervals for preductal oxygen saturation during first 2 hours of life stratified by different gestational age. The secondary outcomes is to establish the pH and lactate cutoff value of umbilical arterial blood gas at different altitude level."
4723283,NCT05482815,"The objective of the study is to evaluate the clinical safety and efficacy of voice prosthesis for voice reconstruction after total laryngectomy in China.

Main outcome will be the assessment of pronunciation effect (subjective auditory assessment)."
4723286,NCT04711915,"The goal of this fixed order, open-label, dose-escalation study is to investigate the safety and efficacy of specific doses of dimethyltryptamine (DMT) in humans."
