nct_id,nlm_download_date_description,study_first_submitted_date,results_first_submitted_date,disposition_first_submitted_date,last_update_submitted_date,study_first_submitted_qc_date,study_first_posted_date,study_first_posted_date_type,results_first_submitted_qc_date,results_first_posted_date,results_first_posted_date_type,disposition_first_submitted_qc_date,disposition_first_posted_date,disposition_first_posted_date_type,last_update_submitted_qc_date,last_update_posted_date,last_update_posted_date_type,start_month_year,start_date_type,start_date,verification_month_year,verification_date,completion_month_year,completion_date_type,completion_date,primary_completion_month_year,primary_completion_date_type,primary_completion_date,target_duration,study_type,acronym,baseline_population,brief_title,official_title,overall_status,last_known_status,phase,enrollment,enrollment_type,source,limitations_and_caveats,number_of_arms,number_of_groups,why_stopped,has_expanded_access,expanded_access_type_individual,expanded_access_type_intermediate,expanded_access_type_treatment,has_dmc,is_fda_regulated_drug,is_fda_regulated_device,is_unapproved_device,is_ppsd,is_us_export,biospec_retention,biospec_description,ipd_time_frame,ipd_access_criteria,ipd_url,plan_to_share_ipd,plan_to_share_ipd_description,created_at,updated_at,source_class,delayed_posting,expanded_access_nctid,expanded_access_status_for_nctid,fdaaa801_violation,baseline_type_units_analyzed
NCT02976740,,11/25/16,,,11/28/16,11/28/16,11/29/16,Estimate,,,,,,,11/28/16,11/29/16,Estimate,16-Nov,,11/30/16,16-Nov,11/30/16,19-Dec,Anticipated,12/31/19,19-Jun,Anticipated,6/30/19,,Interventional,,,SBRT Combination With rhGM-CSF and Tα1 for Stage IV NSCLC Patients Who Failed in Second-line Chemotherapy,A Prospective Multi-center Phase II Study: Assessment of the Safety and Abscopal Effects of SBRT Combination With rhGM-CSF and Thymosin Alpha 1 for Stage IV NSCLC Patients Who Failed in Second-line Chemotherapy,Unknown status,Recruiting,Phase 2,48,Anticipated,The First Affiliated Hospital of Xiamen University,,1,,,f,,,,f,,,,,,,,,,,No,,52:32.7,52:32.7,OTHER,,,,,
NCT03639857,,8/17/18,5/11/21,,6/29/21,8/17/18,8/21/18,Actual,6/29/21,7/21/21,Actual,,,,6/29/21,7/21/21,Actual,17-Aug-18,Actual,8/17/18,21-Jun,6/30/21,31-Dec-19,Actual,12/31/19,31-Dec-19,Actual,12/31/19,,Interventional,,,Study of the Efficacy of 532nm Laser and 1064 nm Laser in the Treatment of Cutaneous Lupus Erythematous Versus Topical Corticosteroids Alone,A Comparative Study of the Efficacy of 532nm Laser and 1064 nm Laser in the Treatment of Cutaneous Lupus Erythematous Versus Topical Corticosteroids Alone,Terminated,,Not Applicable,3,Actual,University of Central Florida,,3,,Time and resource constraints,f,,,,f,f,t,,,t,,,,,,,,52:34.1,52:34.1,OTHER,,,,,Lesions
NCT04342910,,4/9/20,,,2/20/21,4/10/20,4/13/20,Actual,,,,,,,2/20/21,2/23/21,Actual,21-Sep-20,Actual,9/21/20,20-Apr,4/30/20,1-Sep-22,Anticipated,9/1/22,1-Apr-22,Anticipated,4/1/22,,Interventional,,,Study to Evaluate the Efficacy and Safety of Camrelizumab and Apatinib in Patients With GC/GEJC,A Study of Camrelizumab (SHR-1210) Combined With Apatinib Versus Paclitaxel or Irinotecan in Participants With Advanced Gastric/Gastroesophageal Junction Adenocarcinoma Progressed After First-line Chemotherapy,Unknown status,Recruiting,Phase 3,550,Anticipated,"Jiangsu HengRui Medicine Co., Ltd.",,2,,,f,,,,,f,f,,,,,,,,,,,52:35.0,52:35.0,INDUSTRY,,,,,
NCT03504839,,4/4/18,2/1/21,,9/22/21,4/12/18,4/20/18,Actual,9/22/21,9/23/21,Actual,,,,9/22/21,9/23/21,Actual,15-Jan-18,Actual,1/15/18,21-Sep,9/30/21,12-Apr-19,Actual,4/12/19,12-Apr-19,Actual,4/12/19,,Interventional,DASH,,Same Day Subcutaneous ICD And Send Home (DASH),Same Day Subcutaneous ICD And Send Home,Completed,,Not Applicable,53,Actual,Ohio State University,,1,,,f,,,,t,f,t,,,f,,,,,,No,,52:36.1,52:36.1,OTHER,,,,,
NCT04714073,,1/15/21,,,5/5/21,1/15/21,1/19/21,Actual,,,,,,,5/5/21,5/6/21,Actual,11-Feb-21,Actual,2/11/21,21-May,5/31/21,30-Apr-21,Actual,4/30/21,30-Apr-21,Actual,4/30/21,,Interventional,,,A Study in Healthy Men to Test How Itraconazole Influences the Amount of BI 706321 in the Blood,"Effect of Itraconazole on the Pharmacokinetics of a Single Oral Dose of BI 706321 in Healthy Male Subjects (an Open-label, Two-period Fixed Sequence Design Study)",Completed,,Phase 1,14,Actual,Boehringer Ingelheim,,2,,,f,,,,f,f,f,,,,,,,,,No,"Clinical studies sponsored by Boehringer Ingelheim, phases I to IV, interventional and non-interventional, are in scope for sharing of the raw clinical study data and clinical study documents, except for the following exclusions:

studies in products where Boehringer Ingelheim is not the license holder;
studies regarding pharmaceutical formulations and associated analytical methods, and studies pertinent to pharmacokinetics using human biomaterials;
studies conducted in a single center or targeting rare diseases (because of limitations with anonymization).

For more details refer to: https://www.mystudywindow.com/msw/datasharing",52:36.9,52:36.9,INDUSTRY,,,,,
NCT04342676,,4/3/20,,,4/8/20,4/8/20,4/13/20,Actual,,,,,,,4/8/20,4/13/20,Actual,10-Mar-17,Actual,3/10/17,20-Apr,4/30/20,26-Aug-19,Actual,8/26/19,25-Aug-19,Actual,8/25/19,,Interventional,,,Lymph Node Ratio and Kras Mutation in R Colon Cancer,Lymph Node Ratio and Kras Mutation in Risk Stratification of Colon Cancer,Completed,,Phase 3,433,Actual,Mansoura University,,1,,,f,,,,,t,t,,,t,,,,,,No,after publication,52:37.6,52:37.6,OTHER,,,,,
NCT04269629,,2/5/20,7/15/20,,10/28/20,2/11/20,2/17/20,Actual,10/28/20,11/20/20,Actual,,,,10/28/20,11/20/20,Actual,14-Aug,Actual,8/31/14,20-Oct,10/31/20,19-Mar,Actual,3/31/19,18-Jan,Actual,1/31/18,,Observational,EADOAS,Patients included in the study at Visit 1.,The Effect of Antihypertensive Drugs on Severity of Anaphylaxis and Side-effects During Venom Immunotherapy,The Effect of Antihypertensive Drugs on Severity of Anaphylaxis and Side-effects During Venom Immunotherapy,Completed,,,1425,Actual,Medical University of Graz,,,1,,f,,,,,f,f,,,,,,,,,Undecided,,52:38.5,52:38.5,OTHER,,,,,
NCT01641822,,7/13/12,1/15/16,,4/6/16,7/16/12,7/17/12,Estimate,4/6/16,5/9/16,Estimate,,,,4/6/16,5/9/16,Estimate,12-Dec,,12/31/12,16-Apr,4/30/16,15-Jan,Actual,1/31/15,15-Jan,Actual,1/31/15,,Interventional,AZLI CAT,Intent-to-Treat (ITT) Analysis Set: all randomized participants,Phase 3 Study of Aztreonam for Inhalation Solution (AZLI) in a Continuous Alternating Therapy Regimen for the Treatment of Chronic Pseudomonas Aeruginosa Infection in Patients With CF,"A Phase 3, Randomized, Double-Blind, Placebo-Controlled, Multicenter Study of Aztreonam for Inhalation Solution (AZLI) in a Continuous Alternating Therapy (CAT) Regimen of Inhaled Antibiotics for the Treatment of Chronic Pulmonary Pseudomonas Aeruginosa Infection in Subjects With Cystic Fibrosis",Completed,,Phase 3,107,Actual,Gilead Sciences,,2,,,f,,,,t,,,,,,,,,,,,,52:41.4,52:41.4,INDUSTRY,,,,,
NCT00199251,,9/13/05,,,12/22/05,9/13/05,9/20/05,Estimate,,,,,,,12/22/05,12/23/05,Estimate,4-Apr,,4/30/04,5-Sep,9/30/05,5-Jun,,6/30/05,,,,,Interventional,,,Efficacy and Safety of Rupatadine 10 and 20 Mg in Chronic Idiopathic Urticaria,"A 6-Week Multicentre, Double-Blind, Randomised, Placebo-Controlled, Parallel-Group Study to Assess the Efficacy and Safety of Rupatadine 10 and 20 Mg in the Treatment of Chronic Idiopathic Urticaria (CIU): a Phase III Clinical Trial",Terminated,,Phase 3,300,,J. Uriach and Company,,,,,f,,,,,,,,,,,,,,,,,27:10.3,27:10.3,INDUSTRY,,,,,
NCT04250987,,1/21/20,1/31/20,,9/18/20,1/29/20,1/31/20,Actual,9/18/20,9/21/20,Actual,,,,9/18/20,9/21/20,Actual,23-Mar-19,Actual,3/23/19,20-Sep,9/30/20,4-Apr-19,Actual,4/4/19,4-Apr-19,Actual,4/4/19,,Interventional,,One time use of intermittent catheterization with SpeediCath ® connected to a pressure sensor for 8 males and 4 females,Exploratory Investigation of Data Obtained From a Sensor Connected to an Intermittent Catheter,Exploratory Investigation of Data Obtained From a Sensor Connected to an Intermittent Catheter,Completed,,Not Applicable,12,Actual,Coloplast A/S,,1,,,f,,,,f,f,f,,,,,,,,,No,,52:43.1,52:43.1,INDUSTRY,,,,,
